date,value
2021-03-24,5.5569302061482375
2021-03-25,5.6835180840854775
2021-03-26,31.31398323256972
2021-03-27,34.65692158759729
2021-03-28,37.69902292599239
2021-03-29,22.963905387175373
2021-03-30,38.12367533454278
2021-03-31,5.8590483254949675
2021-04-01,3.4487583524360303
2021-04-02,19.679595190900017
2021-04-03,-2.2835480062163214
2021-04-04,21.169896942876605
2021-04-05,22.997613940966062
2021-04-06,11.351991021460847
2021-04-07,-11.827493955403867
2021-04-08,23.82509051770704
2021-04-09,40.123916593192796
2021-04-10,23.697760741049024
2021-04-11,40.916601032105234
2021-04-12,37.24449303516328
2021-04-13,32.702527664683714
2021-04-14,-15.232653520253578
2021-04-15,15.848520980399826
2021-04-16,-23.258267205646973
2021-04-17,-1.368859632345874
2021-04-18,-127.86339452514201
2021-04-19,-17.212000547763267
2021-04-20,-35.39163678680872
2021-04-21,-23.501104515952647
2021-04-22,-80.97112099876314
2021-04-23,-125.35930607218353
2021-04-24,-32.871075450820314
2021-04-25,-17.42210454532072
2021-04-26,-21.2202903636651
2021-04-27,6.248715017067056
2021-04-28,-19.75887403773126
2021-04-29,11.913540129855264
2021-04-30,33.98766012507256
2021-05-01,32.096920094843895
2021-05-02,33.63391936578652
2021-05-03,11.645147209078061
2021-05-04,-69.74387776602238
2021-05-05,-8.682076187926057
2021-05-06,7.174169779213088
2021-05-07,10.870611951714181
2021-05-08,12.414934349936104
2021-05-09,1.892760492496322
2021-05-10,-42.37928523655859
2021-05-11,2.4675413306203637
2021-05-12,-39.232886585160344
2021-05-13,-120.55477056231953
2021-05-14,8.279511821989544
2021-05-15,-9.46871951133113
2021-05-16,-40.94317602173979
2021-05-17,-73.07665855135963
2021-05-18,-25.470613513843432
2021-05-19,-457.8419806665138
2021-05-20,-164.60856701618792
2021-05-21,-130.00342107859132
2021-05-22,-49.90759024948031
2021-05-23,-138.18266556857546
2021-05-24,-73.74550649588676
2021-05-25,-46.077274395848974
2021-05-26,4.526518822961975
2021-05-27,21.86036266926544
2021-05-28,-5.699920328494841
2021-05-29,5.6132288817724145
2021-05-30,21.085852421542427
2021-05-31,17.774906609343248
2021-06-01,17.711904329168192
2021-06-02,47.63141155386343
2021-06-03,43.67834060647721
2021-06-04,17.457939891065053
2021-06-05,17.78541465425745
2021-06-06,58.72588417391415
2021-06-07,25.59004017533877
2021-06-08,-4.390692888634845
2021-06-09,7.633666146344737
2021-06-10,33.28844230309426
2021-06-11,32.675060360824105
2021-06-12,25.957077794997474
2021-06-13,36.7008056419058
2021-06-14,46.578445749069814
2021-06-15,38.37237080261724
