date,value
2026-06-16,-0.0003777735802935611
2026-06-17,-0.0003393108596440042
2026-06-18,-0.0004986258110090125
2026-06-19,-0.0005327494555417145
2026-06-20,-0.0004940115460837502
2026-06-21,-0.0005619917925782092
2026-06-22,-0.000449653248168258
2026-06-23,-0.0004944316146809902
2026-06-24,-0.0006229895871741054
2026-06-25,-0.0005029412513687381
2026-06-27,-0.0005908625958563896
2026-06-28,-0.0004007710070803583
2026-06-29,-0.0005579457676713195
2026-06-30,-0.00047709620167812883
2026-07-01,-0.0005032493755979806
2026-07-02,-0.0003704661993695346
2026-07-03,-0.00045502374655193023
2026-07-04,-0.0004942126574599692
2026-07-05,-0.0005008835811487478
2026-07-17,-0.00037362327943779583
2026-07-18,-0.0004187559726412937
2026-07-19,-0.0004646840148699871
2026-07-20,-0.0005775763844767523
2026-07-21,-0.0004300183923530154
2026-07-22,-0.0004963010065605067
2026-07-23,-0.0005483565275722357
2026-07-24,-0.000450951023497681
2026-07-25,-0.0005173747233110371
2026-07-26,-0.00045018314268752135
2026-07-27,-0.0005178308172744117
2026-07-28,-0.000442222349397281
2026-07-29,-0.0004291508569932434
2026-07-30,-0.0006670627351657021
2026-07-31,-0.0005308595635155067
2026-08-02,-0.0004296421240232995
2026-08-03,-0.00034825097644219927
2026-08-04,-0.0005347364818617528
2026-08-05,-0.0004609791616465575
2026-08-06,-0.0005881549788369078
2026-08-07,-0.0005642073148434124
2026-08-08,-0.00039647347279458955
2026-08-09,-0.0005076806322455996
2026-08-10,-0.000491143403196781
2026-08-11,-0.0004886884557975257
2026-08-12,-0.00046812992733336056
2026-08-13,-0.0004076317126884277
2026-08-15,-0.0004514576771705858
2026-08-16,-0.0004264142294427842
2026-08-17,-0.00048075415695580936
2026-08-18,-0.00038062861075771615
2026-08-19,-0.00016422839286978075
2026-08-20,-0.0002965038330641212
2026-08-21,-0.0001391495181451985
2026-08-22,-0.0002559212753134865
2026-08-23,-0.00034508097223517886
2026-08-24,-0.0005196667687200618
2026-08-25,-0.00046669668809096176
2026-08-26,-0.00043082127299709505
2026-08-27,-0.0004978215329717317
2026-08-28,-0.0004912234739324894
2026-08-29,-0.0004923502604167185
2026-08-30,-0.0005750050674906415
2026-08-31,-0.0004822226004358443
2026-09-01,-0.0005374988113008294
2026-09-02,-0.00043893018083907
2026-09-03,-0.00048254849412965317
2026-09-04,-0.0006107790282913195
2026-09-05,-0.00042736076505633935
2026-09-06,-0.0005208519706891845
2026-09-07,-0.0004096237485392562
