symbol,strategy,entry_ts,exit_ts,side,entry_price,exit_price,quantity,raw_pnl,entry_fee,exit_fee,pnl_net,pnl_bps
BNBUSDT,S2,1780500201148,1780500209271,Long,635.42706,635.47288,1.0,0.04582000000004882,0.0,0.0,0.04582000000004882,0.7210898446794006
BNBUSDT,S2,1780500500743,1780500503241,Long,638.5276799999999,638.57226,1.0,0.044580000000109976,0.0,0.0,0.044580000000109976,0.6981686369510243
BNBUSDT,S2,1780504441913,1780504454214,Long,622.8245400000001,622.7754199999999,1.0,-0.04912000000012995,0.0,0.0,-0.04912000000012995,-0.7886651351298705
BNBUSDT,S2,1780504629521,1780504633224,Long,624.02478,624.0751600000001,1.0,0.050380000000131986,0.0,0.0,0.050380000000131986,0.807339734171005
BNBUSDT,S2,1780507423643,1780507430219,Long,624.1247999999999,623.8752000000001,1.0,-0.24959999999987303,0.0,0.0,-0.24959999999987303,-3.999200159965972
BNBUSDT,S2,1780509605566,1780509608308,Long,626.92536,626.77462,1.0,-0.15073999999992793,0.0,0.0,-0.15073999999992793,-2.4044329615239675
BNBUSDT,S2,1780596969599,1780596971798,Long,603.1206,602.8794,1.0,-0.24119999999993524,0.0,0.0,-0.24119999999993524,-3.9992001599669327
BNBUSDT,S2,1780607408199,1780607414198,Long,606.8213400000001,606.57866,1.0,-0.24268000000006396,0.0,0.0,-0.24268000000006396,-3.9992001599690603
BNBUSDT,S2,1780607419798,1780607425198,Long,606.8213400000001,606.77862,1.0,-0.04272000000003118,0.0,0.0,-0.04272000000003118,-0.7039963360555377
BNBUSDT,S2,1780607426198,1780607432698,Long,607.0213799999999,606.77862,1.0,-0.24275999999986198,0.0,0.0,-0.24275999999986198,-3.999200159965733
BNBUSDT,S2,1780607700999,1780607706899,Long,606.32124,606.0787600000001,1.0,-0.24247999999988679,0.0,0.0,-0.24247999999988679,-3.999200159966139
BNBUSDT,S2,1780607810999,1780607823999,Long,606.22122,606.27872,1.0,0.05750000000000455,0.0,0.0,0.05750000000000455,0.948498635531177
BNBUSDT,S2,1780608325198,1780608344099,Long,603.22062,603.3793000000001,1.0,0.15868000000000393,0.0,0.0,0.15868000000000393,2.6305466812458085
BNBUSDT,S2,1780608389698,1780608401098,Long,603.52068,603.47928,1.0,-0.04139999999995325,0.0,0.0,-0.04139999999995325,-0.6859748368515434
BNBUSDT,S2,1780608419198,1780608429898,Long,604.32084,603.6792399999999,1.0,-0.6416000000000395,0.0,0.0,-0.6416000000000395,-10.616876955625747
BNBUSDT,S2,1780608656998,1780608659298,Long,602.3204400000001,601.97958,1.0,-0.3408600000000206,0.0,0.0,-0.3408600000000206,-5.6591139427381965
BNBUSDT,S2,1780608807898,1780608811098,Long,602.9205599999999,602.57946,1.0,-0.3410999999998694,0.0,0.0,-0.3410999999998694,-5.657461739235919
BNBUSDT,S2,1780609426198,1780609436698,Long,599.6199,599.28012,1.0,-0.33978000000001884,0.0,0.0,-0.33978000000001884,-5.666589784628876
BNBUSDT,S2,1780609441099,1780609448998,Long,599.71992,599.3801,1.0,-0.33982000000003154,0.0,0.0,-0.33982000000003154,-5.666311700969205
BNBUSDT,S2,1780623024198,1780623027298,Long,601.92036,602.07956,1.0,0.1592000000000553,0.0,0.0,0.1592000000000553,2.6448681682748747
BNBUSDT,S2,1780624812898,1780624816098,Long,602.3204400000001,602.2795199999999,1.0,-0.040920000000141954,0.0,0.0,-0.040920000000141954,-0.6793725944306646
BNBUSDT,S2,1780633322198,1780633326898,Long,594.6188999999999,594.3811000000001,1.0,-0.23779999999987922,0.0,0.0,-0.23779999999987922,-3.9992001599659757
BNBUSDT,S2,1780633545998,1780633634398,Long,596.71932,597.4804800000001,1.0,0.761160000000018,0.0,0.0,0.761160000000018,12.755745867253268
BNBUSDT,S2,1780640875398,1780640880598,Long,576.21522,575.68484,1.0,-0.5303800000000365,0.0,0.0,-0.5303800000000365,-9.204546870525851
BNBUSDT,S2,1780642791298,1780642800898,Long,579.9159599999999,580.08396,1.0,0.16800000000012005,0.0,0.0,0.16800000000012005,2.896971485318667
BNBUSDT,S2,1780644188698,1780644199498,Long,580.01598,580.28392,1.0,0.2679399999999532,0.0,0.0,0.2679399999999532,4.619527896454736
BNBUSDT,S3,1780500605601,1780500814134,Long,637.92756,635.5728600000001,1.0,-2.354699999999866,0.35086015800000003,0.34956507300000006,-3.055125230999866,-47.891413109661954
BNBUSDT,S3,1780500815369,1780501435944,Long,635.72712,636.17274,1.0,0.4456199999999626,0.349649916,0.34989500700000004,-0.25392492300003744,-3.994243992611758
BNBUSDT,S3,1780501605737,1780502045526,Long,633.72672,634.07316,1.0,0.3464400000000296,0.348549696,0.34874023800000004,-0.35084993399997044,-5.536297001962778
BNBUSDT,S3,1780502221676,1780502493979,Long,633.42666,631.27372,1.0,-2.152939999999944,0.348384663,0.34720054600000005,-2.848525208999944,-44.97008712894946
BNBUSDT,S3,1780529401220,1780530776096,Long,622.42446,620.27592,1.0,-2.1485399999999117,0.342333453,0.34115175600000003,-2.832025208999912,-45.49990225319731
