decile,n_symbol_weeks,n_symbol_days_with_funding,n_deadzone_symbol_days,deadzone_share
1,7210,49713,24877,0.5004123669865025
2,7352,50908,40573,0.7969867211440245
3,7317,50691,41191,0.812590006115484
4,7358,50947,33656,0.6606080829096904
5,7376,51007,25769,0.5052051679181289
6,7294,50480,20166,0.3994849445324881
7,7321,50660,16955,0.33468219502566127
8,7354,50697,14474,0.28550012821271475
9,7315,50420,12981,0.257457358191194
10,7477,51340,8944,0.17421114141020647
