week,n_symbols,lump_share,neg_share,pos_share,d1_degenerate,d10_degenerate
2020-12-28,0,,,,,
2021-01-04,0,,,,,
2021-01-11,0,,,,,
2021-01-18,0,,,,,
2021-01-25,0,,,,,
2021-02-01,0,,,,,
2021-02-08,0,,,,,
2021-02-15,0,,,,,
2021-02-22,5,0.0,0.0,1.0,True,False
2021-03-01,5,0.0,0.0,1.0,True,False
2021-03-08,5,0.0,0.0,1.0,True,False
2021-03-15,5,0.0,0.0,1.0,True,False
2021-03-22,5,0.0,0.0,1.0,True,False
2021-03-29,5,0.0,0.0,1.0,True,False
2021-04-05,5,0.0,0.0,1.0,True,False
2021-04-12,5,0.0,0.0,1.0,True,False
2021-04-19,5,0.0,0.0,1.0,True,False
2021-04-26,5,0.0,0.0,1.0,True,False
2021-05-03,5,0.0,0.0,1.0,True,False
2021-05-10,8,0.0,0.0,1.0,True,False
2021-05-17,8,0.0,0.875,0.125,False,False
2021-05-24,8,0.125,0.875,0.0,False,True
2021-05-31,8,0.375,0.375,0.25,False,False
2021-06-07,8,0.0,1.0,0.0,False,True
2021-06-14,8,0.25,0.75,0.0,False,True
2021-06-21,8,0.0,1.0,0.0,False,True
2021-06-28,8,0.0,1.0,0.0,False,True
2021-07-05,10,0.0,1.0,0.0,False,True
2021-07-12,10,0.2,0.8,0.0,False,True
2021-07-19,10,0.0,1.0,0.0,False,True
2021-07-26,11,0.1818181818,0.4545454545,0.3636363636,False,False
2021-08-02,11,0.0909090909,0.1818181818,0.7272727273,False,False
2021-08-09,11,0.0,0.0,1.0,True,False
2021-08-16,11,0.0,0.0,1.0,True,False
2021-08-23,14,0.0,0.0,1.0,True,False
2021-08-30,14,0.0,0.0,1.0,True,False
2021-09-06,14,0.0,0.0714285714,0.9285714286,True,False
2021-09-13,14,0.0714285714,0.2142857143,0.7142857143,False,False
2021-09-20,14,0.0714285714,0.6428571429,0.2857142857,False,False
2021-09-27,14,0.2857142857,0.4285714286,0.2857142857,False,False
2021-10-04,14,0.0,0.0714285714,0.9285714286,True,False
2021-10-11,14,0.0,0.0714285714,0.9285714286,True,False
2021-10-18,14,0.0,0.0,1.0,True,False
2021-10-25,19,0.0,0.0526315789,0.9473684211,True,False
2021-11-01,19,0.0,0.1052631579,0.8947368421,False,False
2021-11-08,21,0.0,0.0476190476,0.9523809524,True,False
2021-11-15,22,0.0,0.1363636364,0.8636363636,False,False
2021-11-22,22,0.0,0.0454545455,0.9545454545,True,False
2021-11-29,22,0.0454545455,0.5909090909,0.3636363636,False,False
2021-12-06,30,0.1666666667,0.8333333333,0.0,False,True
2021-12-13,31,0.1612903226,0.8064516129,0.0322580645,False,True
2021-12-20,36,0.3333333333,0.4722222222,0.1944444444,False,False
2021-12-27,38,0.2894736842,0.2894736842,0.4210526316,False,False
2022-01-03,44,0.2272727273,0.5454545455,0.2272727273,False,False
2022-01-10,46,0.3043478261,0.6739130435,0.0217391304,False,True
2022-01-17,58,0.0862068966,0.8965517241,0.0172413793,False,True
2022-01-24,67,0.0895522388,0.9104477612,0.0,False,True
2022-01-31,71,0.1126760563,0.8732394366,0.014084507,False,True
2022-02-07,75,0.1733333333,0.8,0.0266666667,False,True
2022-02-14,76,0.1052631579,0.8815789474,0.0131578947,False,True
2022-02-21,78,0.0512820513,0.9230769231,0.0256410256,False,True
2022-02-28,81,0.0740740741,0.9135802469,0.012345679,False,True
2022-03-07,86,0.0581395349,0.9302325581,0.011627907,False,True
2022-03-14,87,0.2183908046,0.724137931,0.0574712644,False,True
2022-03-21,90,0.3222222222,0.5666666667,0.1111111111,False,False
2022-03-28,90,0.1666666667,0.2888888889,0.5444444444,False,False
2022-04-04,90,0.2555555556,0.5111111111,0.2333333333,False,False
2022-04-11,91,0.2637362637,0.7142857143,0.021978022,False,True
2022-04-18,95,0.3789473684,0.5789473684,0.0421052632,False,True
2022-04-25,96,0.1979166667,0.7708333333,0.03125,False,True
2022-05-02,96,0.1458333333,0.8541666667,0.0,False,True
2022-05-09,100,0.08,0.92,0.0,False,True
2022-05-16,101,0.099009901,0.8910891089,0.0099009901,False,True
2022-05-23,102,0.0784313725,0.9215686275,0.0,False,True
2022-05-30,106,0.1132075472,0.8867924528,0.0,False,True
2022-06-06,109,0.0825688073,0.9082568807,0.0091743119,False,True
2022-06-13,112,0.0535714286,0.9375,0.0089285714,False,True
2022-06-20,113,0.1769911504,0.8053097345,0.017699115,False,True
2022-06-27,113,0.0884955752,0.8849557522,0.0265486726,False,True
2022-07-04,113,0.203539823,0.7876106195,0.0088495575,False,True
2022-07-11,114,0.0789473684,0.9035087719,0.0175438596,False,True
2022-07-18,114,0.2807017544,0.6842105263,0.0350877193,False,True
2022-07-25,116,0.2327586207,0.7327586207,0.0344827586,False,True
2022-08-01,118,0.5847457627,0.3728813559,0.0423728814,False,True
2022-08-08,119,0.7647058824,0.2016806723,0.0336134454,False,True
2022-08-15,119,0.1344537815,0.8403361345,0.025210084,False,True
2022-08-22,120,0.1333333333,0.8083333333,0.0583333333,False,True
2022-08-29,120,0.1083333333,0.8,0.0916666667,False,True
2022-09-05,120,0.1833333333,0.7666666667,0.05,False,True
2022-09-12,121,0.1652892562,0.7933884298,0.041322314,False,True
2022-09-19,121,0.132231405,0.826446281,0.041322314,False,True
2022-09-26,124,0.185483871,0.7661290323,0.0483870968,False,True
2022-10-03,124,0.25,0.7096774194,0.0403225806,False,True
2022-10-10,125,0.152,0.824,0.024,False,True
2022-10-17,126,0.2301587302,0.7380952381,0.0317460317,False,True
2022-10-24,128,0.265625,0.6953125,0.0390625,False,True
2022-10-31,129,0.2248062016,0.6666666667,0.1085271318,False,False
2022-11-07,129,0.0310077519,0.8527131783,0.1162790698,False,False
2022-11-14,129,0.2170542636,0.519379845,0.2635658915,False,False
2022-11-21,130,0.2615384615,0.6,0.1384615385,False,False
2022-11-28,130,0.3076923077,0.5769230769,0.1153846154,False,False
2022-12-05,131,0.2900763359,0.5954198473,0.1145038168,False,False
2022-12-12,132,0.2196969697,0.6893939394,0.0909090909,False,True
