C42_WF_BTCUSDT	FAIL	0	1324	rc=
C42_WF_ETHUSDT	FAIL	0	1199	rc=
C42_WF_SOLUSDT	FAIL	0	1169	rc=
C42_WF_BNBUSDT	FAIL	0	1171	rc=
C42_WF_XRPUSDT	FAIL	0	1163	rc=
C31_CFAR_BTCUSDT	FAIL	0	1051	rc=
C31_CFAR_ETHUSDT	FAIL	0	1056	rc=
C31_CFAR_SOLUSDT	FAIL	0	1060	rc=
C31_CFAR_BNBUSDT	FAIL	0	1057	rc=
C31_CFAR_XRPUSDT	FAIL	0	1071	rc=
REPLAY_ITER5	INFO	0	0	iter-5-Ergebnisse vorhanden - E-15-Auswertung laeuft im run_short (Schritt E15_EVAL)
RECORDER_LONG	FAIL	0	28801	rc=
RECORDER_CHECK	FAIL	0	1	rc=
SUMMARY	FAIL	0	0	rc=
