2026-06-13 03:11:25.526 | INFO     | bybit_edge.recorder            | Starting RecordingEngine: streams=['rpi_orderbook', 'insurance_pool', 'adl_alerts', 'option_tickers', 'premium_index_kline'] symbols=['BTCUSDT'] options=['BTC', 'ETH'] cap=5.0 GB duration=300.0
2026-06-13 03:11:26.479 | INFO     | bybit_edge.recorder.recording_engine | [linear] connected to wss://stream.bybit.com/v5/public/linear
2026-06-13 03:11:26.481 | INFO     | bybit_edge.recorder.recording_engine | [linear] subscribe request sent for stream=rpi_orderbook topics=['orderbook.rpi.BTCUSDT']
2026-06-13 03:11:26.482 | INFO     | bybit_edge.recorder.recording_engine | [linear] subscribe request sent for stream=insurance_pool topics=['insurance.USDT']
2026-06-13 03:11:26.482 | WARNING  | bybit_edge.recorder.recording_engine | [linear] stream 'adl_alerts' is marked phantom — skipping subscribe (topics=['adlAlert']). See DEC-08 / state/decisions.md.
2026-06-13 03:11:26.645 | INFO     | bybit_edge.recorder.recording_engine | [option] connected to wss://stream.bybit.com/v5/public/option
2026-06-13 03:11:26.645 | INFO     | bybit_edge.recorder.recording_engine | [option] subscribe request sent for stream=option_tickers topics=['tickers.BTC', 'tickers.ETH']
2026-06-13 03:11:26.659 | INFO     | bybit_edge.recorder.recording_engine | [linear] ack: op=subscribe success=true ret_msg='' conn_id=d8bu1fhr6maejm5l1g6g-40kl0
2026-06-13 03:11:26.669 | INFO     | bybit_edge.recorder.recording_engine | [linear] ack: op=subscribe success=true ret_msg='' conn_id=d8bu1fhr6maejm5l1g6g-40kl0
2026-06-13 03:11:26.824 | INFO     | bybit_edge.recorder.recording_engine | [option] ack: op= success=true ret_msg='' conn_id=d8aksbru7geqg27abeg0-1ms7f
2026-06-13 03:11:56.028 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 5.0, 'used_gb': 0.0045, 'used_pct': 0.09, 'total_bytes': 4780386, 'total_segments': 497, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'insurance_pool': {'bytes': 1798, 'segments': 1}, 'premium_index_kline': {'bytes': 4763471, 'segments': 494}, 'rpi_orderbook': {'bytes': 15117, 'segments': 2}}}
2026-06-13 03:12:26.143 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 5.0, 'used_gb': 0.0045, 'used_pct': 0.09, 'total_bytes': 4815235, 'total_segments': 500, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'insurance_pool': {'bytes': 1798, 'segments': 1}, 'premium_index_kline': {'bytes': 4763471, 'segments': 494}, 'rpi_orderbook': {'bytes': 49966, 'segments': 5}}}
2026-06-13 03:12:56.266 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 5.0, 'used_gb': 0.0045, 'used_pct': 0.09, 'total_bytes': 4855417, 'total_segments': 504, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'insurance_pool': {'bytes': 1798, 'segments': 1}, 'premium_index_kline': {'bytes': 4773122, 'segments': 495}, 'rpi_orderbook': {'bytes': 80497, 'segments': 8}}}
2026-06-13 03:13:26.355 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 5.0, 'used_gb': 0.0045, 'used_pct': 0.09, 'total_bytes': 4880606, 'total_segments': 507, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'insurance_pool': {'bytes': 1798, 'segments': 1}, 'premium_index_kline': {'bytes': 4773122, 'segments': 495}, 'rpi_orderbook': {'bytes': 105686, 'segments': 11}}}
2026-06-13 03:13:56.506 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 5.0, 'used_gb': 0.0046, 'used_pct': 0.09, 'total_bytes': 4921045, 'total_segments': 511, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'insurance_pool': {'bytes': 1798, 'segments': 1}, 'premium_index_kline': {'bytes': 4782775, 'segments': 496}, 'rpi_orderbook': {'bytes': 136472, 'segments': 14}}}
2026-06-13 03:14:26.608 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 5.0, 'used_gb': 0.0046, 'used_pct': 0.09, 'total_bytes': 4950566, 'total_segments': 514, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'insurance_pool': {'bytes': 1798, 'segments': 1}, 'premium_index_kline': {'bytes': 4782775, 'segments': 496}, 'rpi_orderbook': {'bytes': 165993, 'segments': 17}}}
2026-06-13 03:14:56.725 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 5.0, 'used_gb': 0.0046, 'used_pct': 0.09, 'total_bytes': 4987621, 'total_segments': 519, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'insurance_pool': {'bytes': 3545, 'segments': 2}, 'premium_index_kline': {'bytes': 4792417, 'segments': 497}, 'rpi_orderbook': {'bytes': 191659, 'segments': 20}}}
2026-06-13 03:15:26.829 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 5.0, 'used_gb': 0.0047, 'used_pct': 0.09, 'total_bytes': 5012056, 'total_segments': 522, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'insurance_pool': {'bytes': 3545, 'segments': 2}, 'premium_index_kline': {'bytes': 4792417, 'segments': 497}, 'rpi_orderbook': {'bytes': 216094, 'segments': 23}}}
2026-06-13 03:15:56.970 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 5.0, 'used_gb': 0.0047, 'used_pct': 0.09, 'total_bytes': 5052102, 'total_segments': 526, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'insurance_pool': {'bytes': 3545, 'segments': 2}, 'premium_index_kline': {'bytes': 4802067, 'segments': 498}, 'rpi_orderbook': {'bytes': 246490, 'segments': 26}}}
2026-06-13 03:16:25.544 | INFO     | bybit_edge.recorder.recording_engine | Recording duration 300 s reached — stopping.
2026-06-13 03:16:25.682 | INFO     | bybit_edge.recorder.recording_engine | Recorder stopped. messages=2578 telemetry={'cap_gb': 5.0, 'used_gb': 0.0047, 'used_pct': 0.09, 'total_bytes': 5092259, 'total_segments': 530, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'insurance_pool': {'bytes': 3545, 'segments': 2}, 'premium_index_kline': {'bytes': 4802067, 'segments': 498}, 'rpi_orderbook': {'bytes': 286647, 'segments': 30}}}
2026-06-13 03:16:25.753 | INFO     | bybit_edge.recorder            | RecordingEngine finished. Telemetry: {"cap_gb": 5.0, "used_gb": 0.0047, "used_pct": 0.09, "total_bytes": 5092259, "total_segments": 530, "evictions": 0, "bytes_evicted": 0, "per_stream": {"insurance_pool": {"bytes": 3545, "segments": 2}, "premium_index_kline": {"bytes": 4802067, "segments": 498}, "rpi_orderbook": {"bytes": 286647, "segments": 30}}}
