week,sigma_xs,sigma_ls
2024-01-22,0.0823132225,0.0138563285
2024-01-29,0.0960971543,-0.0249508349
2024-02-05,0.0933109238,0.0050268641
2024-02-12,0.1327872599,0.009413923
2024-02-19,0.1454699142,0.0275319712
2024-02-26,0.1949774079,-0.0341733482
2024-03-04,0.1451140446,0.0137437353
2024-03-11,0.1651395092,0.0445414872
2024-03-18,0.1251182781,0.0299955722
2024-03-25,0.1328604198,0.0088816267
2024-04-01,0.0994846986,-0.0090310444
2024-04-08,0.1346616055,0.0261601058
2024-04-15,0.0796518976,0.0247033979
2024-04-22,0.0816908385,0.0062090449
2024-04-29,0.0751899267,0.00080581
2024-05-06,0.0887601808,0.009578178
2024-05-13,0.0847593851,0.0216217764
2024-05-20,0.1305920239,-0.0461881196
2024-05-27,0.0985808796,-0.0037344879
2024-06-03,0.1076828479,-0.0409048172
2024-06-10,0.1012646318,-0.0209570521
2024-06-17,0.1015444812,-0.0096849838
2024-06-24,0.0871817898,-0.0275431966
2024-07-01,0.0947764906,-0.0109325613
2024-07-08,0.0716946592,-0.0186186354
2024-07-15,0.1160270936,0.0574079788
2024-07-22,0.089953389,0.0014048584
2024-07-29,0.1095777306,0.0081716235
2024-08-05,0.1071007042,-0.0377551914
2024-08-12,0.1069667314,0.0119032802
2024-08-19,0.1326224613,-0.0127826371
2024-08-26,0.0991927719,0.0139858779
2024-09-02,0.082475373,-0.0135316442
2024-09-09,0.0982413497,0.0089557042
2024-09-16,0.1018075883,0.0398211497
2024-09-23,0.0986015699,0.0056277602
2024-09-30,0.0918385415,-0.0534458516
2024-10-07,0.1162621605,0.0080666422
2024-10-14,0.1117935634,0.0117254227
2024-10-21,0.0912014607,-0.0019643563
2024-10-28,0.0761531687,0.0320802904
2024-11-04,0.1268362353,-0.0045617481
2024-11-11,0.1659070738,0.041333828
2024-11-18,0.1780880794,0.0036023778
2024-11-25,0.1396530701,-0.0296165925
2024-12-02,0.1331850772,-0.075398407
2024-12-09,0.1147653446,-0.0246021873
2024-12-16,0.1478457832,-0.052253162
2024-12-23,0.1152062946,0.0007965996
2024-12-30,0.0882463467,0.0035021131
2025-01-06,0.1018075195,-0.0042782176
2025-01-13,0.1453733326,-0.0317548756
2025-01-20,0.1385982524,-0.0194540263
2025-01-27,0.1342972997,0.0125279936
2025-02-03,0.1159722795,-0.0168480917
2025-02-10,0.1080595458,0.0311415766
2025-02-17,0.117162834,0.0110645999
2025-02-24,0.1073073378,-0.005581759
2025-03-03,0.163754752,-0.0092035923
2025-03-10,0.1171608831,-0.0001895336
2025-03-17,0.1264891241,-0.0495304427
2025-03-24,0.0963719899,-0.0153789788
2025-03-31,0.1455665025,-0.0453107867
2025-04-07,0.2251531507,0.0516269662
2025-04-14,0.1522473044,0.0488016147
