week,n_symbols,lump_share,neg_share,pos_share,d1_degenerate,d10_degenerate
2022-10-24,176,0.2727272727,0.6704545455,0.0568181818,False,True
2022-10-31,177,0.2542372881,0.6271186441,0.1186440678,False,False
2022-11-07,177,0.0395480226,0.8248587571,0.1355932203,False,False
2022-11-14,176,0.2556818182,0.4886363636,0.2556818182,False,False
2022-11-21,175,0.2628571429,0.5885714286,0.1485714286,False,False
2022-11-28,175,0.28,0.5885714286,0.1314285714,False,False
2022-12-05,176,0.2954545455,0.5738636364,0.1306818182,False,False
2022-12-12,177,0.2429378531,0.6440677966,0.1129943503,False,False
2022-12-19,177,0.2655367232,0.6327683616,0.1016949153,False,False
2022-12-26,177,0.2203389831,0.6949152542,0.0847457627,False,True
2023-01-02,177,0.2768361582,0.6214689266,0.1016949153,False,False
2023-01-09,178,0.1966292135,0.3146067416,0.4887640449,False,False
2023-01-16,178,0.1853932584,0.2584269663,0.5561797753,False,False
2023-01-23,178,0.1685393258,0.1516853933,0.6797752809,False,False
2023-01-30,178,0.1123595506,0.1123595506,0.7752808989,False,False
2023-02-06,179,0.1340782123,0.2793296089,0.5865921788,False,False
2023-02-13,179,0.1508379888,0.2905027933,0.5586592179,False,False
2023-02-20,179,0.1508379888,0.2067039106,0.6424581006,False,False
2023-02-27,180,0.3111111111,0.5333333333,0.1555555556,False,False
2023-03-06,180,0.1555555556,0.7888888889,0.0555555556,False,True
2023-03-13,180,0.2166666667,0.5611111111,0.2222222222,False,False
2023-03-20,180,0.2277777778,0.7111111111,0.0611111111,False,True
2023-03-27,180,0.2666666667,0.6777777778,0.0555555556,False,True
2023-04-03,184,0.3315217391,0.5652173913,0.1032608696,False,False
2023-04-10,188,0.1117021277,0.3031914894,0.585106383,False,False
2023-04-17,192,0.0572916667,0.2447916667,0.6979166667,False,False
2023-04-24,194,0.3041237113,0.618556701,0.0773195876,False,True
2023-05-01,196,0.3265306122,0.6275510204,0.0459183673,False,True
2023-05-08,199,0.135678392,0.8542713568,0.0100502513,False,True
2023-05-15,202,0.2128712871,0.7673267327,0.0198019802,False,True
2023-05-22,203,0.3103448276,0.645320197,0.0443349754,False,True
2023-05-29,202,0.5099009901,0.3712871287,0.1188118812,False,False
2023-06-05,202,0.0495049505,0.9207920792,0.0297029703,False,True
2023-06-12,203,0.1133004926,0.8719211823,0.0147783251,False,True
2023-06-19,203,0.1330049261,0.8374384236,0.0295566502,False,True
2023-06-26,206,0.1844660194,0.7815533981,0.0339805825,False,True
2023-07-03,206,0.1553398058,0.7961165049,0.0485436893,False,True
2023-07-10,206,0.2572815534,0.6699029126,0.072815534,False,True
2023-07-17,208,0.4615384615,0.4807692308,0.0576923077,False,True
2023-07-24,209,0.3636363636,0.5933014354,0.043062201,False,True
2023-07-31,213,0.338028169,0.6384976526,0.0234741784,False,True
2023-08-07,213,0.4131455399,0.544600939,0.0422535211,False,True
2023-08-14,214,0.191588785,0.7476635514,0.0607476636,False,True
2023-08-21,216,0.2453703704,0.7453703704,0.0092592593,False,True
2023-08-28,218,0.2201834862,0.752293578,0.0275229358,False,True
2023-09-04,218,0.1651376147,0.8165137615,0.0183486239,False,True
2023-09-11,218,0.1513761468,0.8256880734,0.0229357798,False,True
2023-09-18,221,0.1674208145,0.8099547511,0.0226244344,False,True
2023-09-25,226,0.2256637168,0.7610619469,0.0132743363,False,True
2023-10-02,230,0.2565217391,0.7217391304,0.0217391304,False,True
2023-10-09,235,0.2170212766,0.770212766,0.0127659574,False,True
2023-10-16,235,0.2212765957,0.7617021277,0.0170212766,False,True
2023-10-23,238,0.3319327731,0.3445378151,0.3235294118,False,False
2023-10-30,241,0.2365145228,0.1161825726,0.6473029046,False,False
2023-11-06,240,0.1125,0.0583333333,0.8291666667,True,False
2023-11-13,242,0.1115702479,0.0454545455,0.8429752066,True,False
2023-11-20,242,0.3719008264,0.1487603306,0.479338843,False,False
2023-11-27,245,0.293877551,0.1387755102,0.5673469388,False,False
2023-12-04,252,0.0634920635,0.0476190476,0.8888888889,True,False
2023-12-11,253,0.0711462451,0.0711462451,0.8577075099,True,False
2023-12-18,258,0.0542635659,0.0697674419,0.8759689922,True,False
2023-12-25,262,0.0267175573,0.0534351145,0.9198473282,True,False
2024-01-01,262,0.034351145,0.0916030534,0.8740458015,True,False
2024-01-08,267,0.6329588015,0.2247191011,0.1423220974,False,False
2024-01-15,272,0.5992647059,0.1727941176,0.2279411765,False,False
2024-01-22,276,0.6123188406,0.2898550725,0.097826087,False,True
2024-01-29,278,0.6438848921,0.226618705,0.1294964029,False,False
2024-02-05,280,0.5678571429,0.2178571429,0.2142857143,False,False
2024-02-12,281,0.0925266904,0.0640569395,0.8434163701,True,False
2024-02-19,284,0.0563380282,0.0457746479,0.8978873239,True,False
2024-02-26,286,0.0104895105,0.0174825175,0.972027972,True,False
2024-03-04,287,0.0069686411,0.0104529617,0.9825783972,True,False
2024-03-11,292,0.0068493151,0.0171232877,0.9760273973,True,False
2024-03-18,294,0.1292517007,0.0612244898,0.8095238095,True,False
2024-03-25,297,0.0067340067,0.0235690236,0.9696969697,True,False
2024-04-01,299,0.0066889632,0.0301003344,0.9632107023,True,False
2024-04-08,299,0.0301003344,0.2140468227,0.7558528428,False,False
