week,ic,k
2020-12-28,,0
2021-01-04,,0
2021-01-11,,0
2021-01-18,,0
2021-01-25,,0
2021-02-01,,0
2021-02-08,,0
2021-02-15,,0
2021-02-22,,5
2021-03-01,,5
2021-03-08,,5
2021-03-15,,5
2021-03-22,,5
2021-03-29,,5
2021-04-05,,5
2021-04-12,,5
2021-04-19,,5
2021-04-26,,5
2021-05-03,,5
2021-05-10,,8
2021-05-17,,8
2021-05-24,,8
2021-05-31,,8
2021-06-07,,8
2021-06-14,,8
2021-06-21,,8
2021-06-28,,8
2021-07-05,0.0303030303,10
2021-07-12,0.4666666667,10
2021-07-19,-0.4060606061,10
2021-07-26,-0.2090909091,11
2021-08-02,-0.6909090909,11
2021-08-09,-0.3181818182,11
2021-08-16,-0.2090909091,11
2021-08-23,-0.4461538462,14
2021-08-30,0.2043956044,14
2021-09-06,-0.2659340659,14
2021-09-13,0.0417582418,14
2021-09-20,-0.1340659341,14
2021-09-27,-0.0725274725,14
2021-10-04,0.3582417582,14
2021-10-11,0.1648351648,14
2021-10-18,0.3054945055,14
2021-10-25,0.3087719298,19
2021-11-01,-0.2877192982,19
2021-11-08,0.1818181818,21
2021-11-15,-0.0365612648,23
2021-11-22,0.1462450593,23
2021-11-29,0.1472332016,23
2021-12-06,0.0322128852,35
2021-12-13,-0.477992278,36
2021-12-20,0.1460983713,42
2021-12-27,0.2405919662,44
2022-01-03,0.0881152461,50
2022-01-10,-0.0960471271,52
2022-01-17,-0.3824444213,66
2022-01-24,-0.3470788705,79
2022-01-31,0.3168923062,86
2022-02-07,-0.0217776613,92
2022-02-14,0.3085720478,94
2022-02-21,-0.0044628323,96
2022-02-28,0.1119604205,99
2022-03-07,-0.1213767365,105
2022-03-14,-0.3443739101,107
2022-03-21,0.0886539137,111
2022-03-28,-0.4257195507,111
2022-04-04,-0.0054141804,111
2022-04-11,-0.0377653279,115
2022-04-18,0.2727897771,120
2022-04-25,0.0640021677,121
2022-05-02,0.176764666,121
2022-05-09,-0.2281664792,126
2022-05-16,0.2358117174,129
2022-05-23,-0.0270287999,136
2022-05-30,0.324354399,142
2022-06-06,-0.1136120296,145
2022-06-13,-0.3385874928,150
2022-06-20,-0.1517267067,152
2022-06-27,-0.1074627587,155
2022-07-04,-0.1294062794,156
2022-07-11,-0.1095207344,157
2022-07-18,-0.0118793536,158
2022-07-25,-0.1411778238,161
2022-08-01,-0.2674574565,164
2022-08-08,-0.2706488927,165
2022-08-15,0.1105067721,165
2022-08-22,-0.2789752012,166
2022-08-29,-0.0455132157,166
2022-09-05,0.1147195204,166
2022-09-12,-0.0585439804,168
2022-09-19,-0.1287804779,168
2022-09-26,-0.0676663399,171
2022-10-03,0.1500203998,171
2022-10-10,0.0035422607,172
2022-10-17,-0.1846095369,173
2022-10-24,0.0413273395,176
2022-10-31,0.1029587995,177
2022-11-07,-0.2022073741,177
2022-11-14,-0.1510326899,176
2022-11-21,-0.0833452754,175
2022-11-28,0.0824272279,175
2022-12-05,0.1746822166,176
2022-12-12,0.1612453479,177
2022-12-19,0.2278430882,177
2022-12-26,-0.3674386697,177
2023-01-02,-0.1757699308,177
2023-01-09,0.129191673,178
2023-01-16,0.1441396105,178
2023-01-23,-0.0811625133,178
2023-01-30,-0.2280242125,178
2023-02-06,0.0560416797,179
2023-02-13,-0.077781265,179
2023-02-20,-0.2989140669,179
2023-02-27,-0.2695782792,180
2023-03-06,-0.0315441835,180
2023-03-13,-0.042556869,180
2023-03-20,-0.1052398737,180
2023-03-27,-0.2261645041,180
2023-04-03,-0.135557011,184
2023-04-10,-0.0567321706,188
2023-04-17,0.1116990614,192
2023-04-24,0.1533834895,194
2023-05-01,0.291990533,196
2023-05-08,-0.1441564429,199
2023-05-15,0.0166346485,202
2023-05-22,0.0645602519,203
2023-05-29,0.3011535989,202
2023-06-05,-0.2066244449,202
2023-06-12,-0.4052204699,203
2023-06-19,0.1281090343,203
2023-06-26,-0.0298963337,206
2023-07-03,-0.0971910209,206
2023-07-10,-0.0385027604,206
2023-07-17,0.1083749755,208
2023-07-24,-0.1127162682,209
2023-07-31,-0.1134572901,213
2023-08-07,-0.0354385172,213
2023-08-14,0.1709922215,214
2023-08-21,0.1541278636,216
2023-08-28,0.038651923,218
2023-09-04,-0.0822144629,218
2023-09-11,-0.0460962965,218
2023-09-18,-0.0328660211,221
2023-09-25,-0.2924304446,226
2023-10-02,-0.0554173376,230
2023-10-09,0.038337633,235
2023-10-16,-0.1803970522,235
2023-10-23,-0.0017976366,238
2023-10-30,-0.0128827887,241
2023-11-06,-0.0249804684,240
2023-11-13,-0.0861428739,242
2023-11-20,-0.0542848325,242
2023-11-27,-0.0487152078,245
2023-12-04,0.065627583,252
2023-12-11,0.1506148194,253
2023-12-18,-0.2405110878,258
2023-12-25,-0.1936534563,262
2024-01-01,0.0707640694,262
2024-01-08,-0.1997846368,267
2024-01-15,-0.0313814143,272
2024-01-22,0.122884662,276
2024-01-29,-0.1383439383,278
2024-02-05,-0.0504835156,280
2024-02-12,0.0385850577,281
2024-02-19,-0.0990237501,284
2024-02-26,0.1837502677,286
2024-03-04,-0.0477474761,287
2024-03-11,-0.1525805971,292
2024-03-18,0.0346309706,294
2024-03-25,-0.0556041093,297
2024-04-01,0.1977953357,299
2024-04-08,-0.416963929,299
2024-04-15,0.0033051709,304
2024-04-22,-0.1860333774,306
2024-04-29,0.2028238673,308
2024-05-06,-0.1104247902,313
2024-05-13,-0.2350575877,317
2024-05-20,-0.0823250227,320
2024-05-27,-0.0648702445,325
2024-06-03,-0.0065429859,326
2024-06-10,-0.0213335445,329
2024-06-17,-0.0973149463,339
2024-06-24,0.2583921192,340
2024-07-01,-0.0800791422,345
2024-07-08,-0.3158612712,352
2024-07-15,-0.05121431,357
2024-07-22,0.1097937557,361
2024-07-29,0.0675857658,365
2024-08-05,-0.1943292444,369
2024-08-12,-0.4141820605,373
2024-08-19,0.134158293,377
2024-08-26,-0.1277509552,377
2024-09-02,-0.0648098955,379
2024-09-09,-0.0880460226,384
2024-09-16,-0.2696279252,386
