week,ic,k
2024-09-23,-0.0894400965,382
2024-09-30,0.082911393,387
2024-10-07,-0.0980142605,388
2024-10-14,-0.0764567404,391
2024-10-21,0.0601893332,393
2024-10-28,-0.1342649212,396
2024-11-04,-0.0098794275,396
2024-11-11,-0.1781038159,401
2024-11-18,-0.0485774088,403
2024-11-25,0.0500757534,407
2024-12-02,0.0506145116,410
2024-12-09,-0.049029731,415
2024-12-16,0.0279887291,419
2024-12-23,-0.2526022253,419
2024-12-30,0.2498208087,419
2025-01-06,0.0876116204,427
2025-01-13,0.2869374618,435
2025-01-20,0.391477296,442
2025-01-27,0.1632843429,443
2025-02-03,-0.054702381,449
2025-02-10,-0.052723619,457
2025-02-17,-0.1982742529,459
2025-02-24,0.2241631237,460
2025-03-03,-0.1917051792,466
2025-03-10,-0.217406771,474
2025-03-17,0.17843669,477
2025-03-24,0.3618545619,475
2025-03-31,0.0085089521,478
2025-04-07,-0.2482507927,484
2025-04-14,-0.3261457521,483
2025-04-21,-0.0485343888,483
2025-04-28,0.0059190095,481
2025-05-05,-0.0837037595,486
2025-05-12,-0.014919509,490
2025-05-19,-0.0652449579,492
2025-05-26,-0.0421791724,494
2025-06-02,0.228993118,496
2025-06-09,0.3434650063,500
2025-06-16,-0.383611925,504
2025-06-23,0.0479919709,514
2025-06-30,-0.1942156264,515
2025-07-07,0.0299865186,514
2025-07-14,-0.1347929923,517
2025-07-21,-0.1948884553,520
2025-07-28,0.0444600905,521
2025-08-04,0.0487567139,523
2025-08-11,0.0119363031,526
2025-08-18,0.0689775949,527
2025-08-25,-0.1126874799,528
2025-09-01,-0.315309209,530
2025-09-08,0.0339454701,535
2025-09-15,0.0759441179,545
2025-09-22,0.0700679193,556
2025-09-29,0.1705546576,561
2025-10-06,-0.0598254419,556
2025-10-13,-0.070886936,558
2025-10-20,0.129503702,546
2025-10-27,0.0197611676,547
2025-11-03,0.239292011,550
2025-11-10,-8.66288e-05,559
2025-11-17,-0.1262446493,563
2025-11-24,0.0153900707,571
2025-12-01,0.1629995081,575
2025-12-08,0.0789334997,581
2025-12-15,-0.2352517561,584
2025-12-22,-0.2568464352,590
2025-12-29,-0.1283234327,589
2026-01-05,-0.1813592961,592
2026-01-12,-0.1647335085,594
2026-01-19,0.1038541625,597
2026-01-26,0.1510709501,596
2026-02-02,-0.1487409054,595
2026-02-09,0.2036952025,592
2026-02-16,0.0303442319,590
2026-02-23,-0.0721985799,593
2026-03-02,-0.0974209539,594
2026-03-09,0.0695286995,589
2026-03-16,0.0875050988,603
2026-03-23,-0.0606921133,602
2026-03-30,-0.0927277193,600
2026-04-06,-0.1536413403,598
2026-04-13,0.0046708726,593
2026-04-20,0.0218090795,590
2026-04-27,-0.0727848758,589
2026-05-04,-0.3043493571,586
2026-05-11,-0.0404913442,593
2026-05-18,-0.0308071663,593
2026-05-25,0.1041656936,596
2026-06-01,-0.1761063235,593
2026-06-08,0.1139316397,592
2026-06-15,0.1679500076,592
2026-06-22,-0.1308963749,602
2026-06-29,0.0140260634,606
2026-07-06,0.0495670771,618
2026-07-13,-0.1138310453,622
2026-07-20,0.1635096494,625
2026-07-27,-0.1053993069,633
2026-08-03,0.0062210506,638
2026-08-10,-0.310531923,643
2026-08-17,-0.1509605906,657
2026-08-24,0.1092108188,668
2026-08-31,-0.0651165864,681
2026-09-07,0.1801531944,701
