symbol,event_date,event_hour,era,stress_abs,variable,baseline,phi,lambda_per_h,half_life_h,r2,n_pairs,t_return_defined,t_return_h,censored,shock_excess
BTCUSDT,2020-03-29,440401,OTHER,False,activity_volume,2.698266868733443,0.38625128095646055,11.415205612602602,0.06072139250778784,0.14939232465697128,287,True,24.0,True,0.002063839990441426
BTCUSDT,2020-03-29,440401,OTHER,False,activity_ntrades,3.1354942159291497,0.48087693930042874,8.78572662072176,0.07889469027241394,0.23123839720865258,287,True,14,False,0.24705817622464799
BTCUSDT,2020-03-29,440401,OTHER,False,realized_vol,2.7497091076872153,0.5937590266822823,6.255380650986365,0.1108081536893599,0.3518342726810024,287,True,7,False,0.8701273261292563
BTCUSDT,2020-03-31,440451,OTHER,False,activity_volume,3.920447192850806,0.21508726864000569,18.44053719070404,0.037588231481096114,0.046323541214232766,287,True,13,False,0.24575046317082958
BTCUSDT,2020-03-31,440451,OTHER,False,activity_ntrades,3.4657359027997265,0.3606732235355175,12.23739514261068,0.0566417258315377,0.12809556890011775,287,True,3,False,0.2476176304664942
BTCUSDT,2020-03-31,440451,OTHER,False,realized_vol,2.6787985133421124,0.18240735647738462,20.41815444708712,0.03394759219576922,0.0333002730195362,287,True,3,False,0.2830545124901748
BTCUSDT,2020-04-01,440476,OTHER,False,activity_volume,3.932245172539937,0.3287338261655626,13.350082736110775,0.05192081534334199,0.10875506018325964,287,True,15,False,0.1332292736458298
BTCUSDT,2020-04-01,440476,OTHER,False,activity_ntrades,3.5263605246161616,0.5127762256261792,8.014988836006177,0.08648136569399598,0.2674042381268049,287,True,13,False,0.14437245605181867
BTCUSDT,2020-04-01,440476,OTHER,False,realized_vol,2.659394253759498,0.3144731361247232,13.882279490608488,0.049930357692975914,0.09896050378309806,287,True,8,False,0.3036025947891838
BTCUSDT,2020-04-04,440562,OTHER,False,activity_volume,2.606010779466055,0.3527511490820022,12.503909169092427,0.05543443823738653,0.12445002729340604,287,True,24.0,True,0.40338253728172807
BTCUSDT,2020-04-04,440562,OTHER,False,activity_ntrades,3.4339872044851463,0.4387947539890197,9.884682072123324,0.07012336618440684,0.1930480435413907,287,True,4,False,0.2539283747240751
BTCUSDT,2020-04-04,440562,OTHER,False,realized_vol,2.531689140109856,0.344602726439017,12.78435651629528,0.05421838632835697,0.12055572208447363,287,True,24.0,True,0.7167570439103317
BTCUSDT,2020-04-06,440612,OTHER,False,activity_volume,3.8592545662681874,0.3447099812562182,12.780622194259916,0.054234228195185544,0.1188266450049712,287,True,5,False,0.7581461533606627
BTCUSDT,2020-04-06,440612,OTHER,False,activity_ntrades,3.828641396489095,0.6131775897444884,5.869208148687096,0.11809892629468216,0.3758483586172102,287,True,7,False,0.5976654091630436
BTCUSDT,2020-04-06,440612,OTHER,False,realized_vol,2.7114737582965116,0.31658657252793826,13.801902526880413,0.05022113286266009,0.09934404865440194,287,True,3,False,0.6444212060792537
BTCUSDT,2020-04-11,440712,OTHER,False,activity_volume,3.8185908137566695,0.5627344399838188,6.899369394476154,0.10046529485939687,0.315026303303786,287,True,24.0,True,0.5533511264948036
BTCUSDT,2020-04-11,440712,OTHER,False,activity_ntrades,4.5695295849856095,0.2801564359870282,15.26888558248712,0.04539605571181704,0.07802908634195271,287,True,7,False,0.24809869330110346
BTCUSDT,2020-04-11,440712,OTHER,False,realized_vol,2.531192145182744,0.49419254168971494,8.457960926707365,0.08195204335494412,0.24076797714797515,287,True,24.0,True,0.39984545055723447
BTCUSDT,2020-04-12,440755,OTHER,False,activity_volume,3.2869269153255916,0.4555098494615317,9.436055269316277,0.07345730400858172,0.20721034915724335,287,True,24.0,True,0.19849594938622392
BTCUSDT,2020-04-12,440755,OTHER,False,activity_ntrades,4.448499276371912,0.6260678505354261,5.619558315824993,0.12334549115862073,0.39167671154643,287,True,24.0,True,0.10900739136060307
BTCUSDT,2020-04-12,440755,OTHER,False,realized_vol,2.2300395918607605,0.4224667298433235,10.339734974621933,0.0670372289290993,0.17838331853651923,287,True,2,False,0.34097931998252773
BTCUSDT,2020-04-14,440797,OTHER,False,activity_volume,3.712639490228807,0.45400945370716317,9.475647096168679,0.07315037944376462,0.2064846267214988,287,True,24.0,True,0.9372184441421328
BTCUSDT,2020-04-14,440797,OTHER,False,activity_ntrades,4.77912349311153,0.5328191181277779,7.554879336333108,0.09174827944987092,0.28804593632785214,287,True,6,False,1.092230959179035
BTCUSDT,2020-04-14,440797,OTHER,False,realized_vol,2.516882484898565,0.4363164793862418,9.952649145569955,0.06964449066995128,0.19036596073734124,287,True,7,False,0.5682905403477299
BTCUSDT,2020-04-16,440840,OTHER,False,activity_volume,3.540225456186068,0.3626728212596711,12.17105003991878,0.05695048317824275,0.13269993531131696,287,True,6,False,0.5577416053899578
BTCUSDT,2020-04-16,440840,OTHER,False,activity_ntrades,5.0139575654555895,0.2003571611949942,19.291844389377427,0.035929544452556826,0.04015340245607313,287,True,24.0,True,0.10495114528589185
BTCUSDT,2020-04-16,440840,OTHER,False,realized_vol,2.3417845257205148,0.291453431093093,14.794500504802146,0.04685167845544746,0.08496063287376299,287,True,24.0,True,0.359185646681561
BTCUSDT,2020-04-20,440947,OTHER,False,activity_volume,3.2676965760385572,0.20199683605077656,19.194038937822814,0.03611262761346514,0.04130607229876826,287,True,2,False,0.6371707180912786
BTCUSDT,2020-04-20,440947,OTHER,False,activity_ntrades,4.718498871295094,0.26180313236895913,16.08194953005373,0.04310094241152798,0.06950240603887337,287,True,3,False,0.6384926653651748
BTCUSDT,2020-04-20,440947,OTHER,False,realized_vol,2.173056203741238,0.2582026129422927,16.248128169387975,0.04266012511311045,0.06708890310204174,287,True,15,False,0.7055219186187772
