decile,n_symbol_weeks,n_symbol_days_with_funding,n_deadzone_symbol_days,deadzone_share
1,7210,49713,24085,0.4844809204835757
2,7352,50908,39971,0.7851614677457374
3,7317,50691,40844,0.8057446094967549
4,7358,50947,33292,0.6534634031444442
5,7376,51007,25590,0.5016958456682417
6,7294,50480,20059,0.39736529318541997
7,7321,50660,16842,0.3324516383734702
8,7354,50697,14325,0.28256109828983966
9,7315,50420,12780,0.25347084490281635
10,7477,51340,8753,0.17049084534476042
