week,sigma_xs,sigma_ls
2020-12-28,,
2021-01-04,,
2021-01-11,,
2021-01-18,,
2021-01-25,,
2021-02-01,,
2021-02-08,,
2021-02-15,,
2021-02-22,0.066970866,
2021-03-01,0.0346767326,
2021-03-08,0.0857696986,
2021-03-15,0.0598386654,
2021-03-22,0.0387932198,
2021-03-29,0.0563978302,
2021-04-05,0.088482538,
2021-04-12,0.1654040718,
2021-04-19,0.0718995876,
2021-04-26,0.0421344092,
2021-05-03,0.1425493318,
2021-05-10,0.1880850431,
2021-05-17,0.1754453009,
2021-05-24,0.0771850076,
2021-05-31,0.0693676693,
2021-06-07,0.0770043602,
2021-06-14,0.0150242042,
2021-06-21,0.0864189283,
2021-06-28,0.0476410546,
2021-07-05,0.0543260564,-0.1853516296
2021-07-12,0.0415412284,-0.0904357426
2021-07-19,0.0485157024,-0.0046419199
2021-07-26,0.088985243,-0.1735115282
2021-08-02,0.0419607212,0.0673847871
2021-08-09,0.1368813994,0.1386687094
2021-08-16,0.0944086211,0.0225744315
2021-08-23,0.1387036206,0.0081970695
2021-08-30,0.1283936567,-0.1703964907
2021-09-06,0.1353452807,-0.1024825607
2021-09-13,0.0407908104,-0.0978951789
2021-09-20,0.0931195919,-0.3125720039
2021-09-27,0.0697393923,0.0902706897
2021-10-04,0.0848392976,0.0259443567
2021-10-11,0.0814991783,0.0178516679
2021-10-18,0.0513742451,0.0036133476
2021-10-25,0.0519387237,0.0075807432
2021-11-01,0.072422932,0.1823806047
2021-11-08,0.0993267964,0.0177789355
2021-11-15,0.099895469,0.0577443224
2021-11-22,0.0646403262,0.0539420062
2021-11-29,0.0955637939,-0.1059003171
2021-12-06,0.0887114714,0.0736501798
2021-12-13,0.0780588154,-0.0005722761
2021-12-20,0.1215200327,-0.1135318705
2021-12-27,0.0536617723,0.0291410697
2022-01-03,0.1217349852,0.0523619799
2022-01-10,0.0946971514,-0.0865332751
2022-01-17,0.0984909025,0.0059044471
2022-01-24,0.0968875513,-0.0653657779
2022-01-31,0.0826610218,0.0210165123
2022-02-07,0.140162617,0.0502607684
2022-02-14,0.0695217928,-0.0332070095
2022-02-21,0.0702814275,0.0066091439
2022-02-28,0.0892253616,0.0545038468
2022-03-07,0.0988024177,0.0397579513
2022-03-14,0.1128694993,0.0642189388
2022-03-21,0.1088902618,-0.010907369
2022-03-28,0.0995336075,-0.015212798
2022-04-04,0.1070713221,0.0448031537
2022-04-11,0.0563561723,-0.0070294984
2022-04-18,0.073527879,-0.0155094275
2022-04-25,0.1033445828,0.0474140816
2022-05-02,0.1025216365,-0.0089722177
2022-05-09,0.1423896845,0.0404831451
2022-05-16,0.113476292,0.0389930956
2022-05-23,0.0922034637,0.0322446294
2022-05-30,0.0887656416,-0.0239589233
2022-06-06,0.0956732201,0.0708262024
2022-06-13,0.1405035835,-0.0006668224
2022-06-20,0.1098305517,-0.0353345475
2022-06-27,0.0768549348,-0.0272417344
2022-07-04,0.0742418306,0.0397853363
2022-07-11,0.0681223827,0.0029439648
2022-07-18,0.0764228081,-0.0292800542
2022-07-25,0.1069298009,0.1053412155
2022-08-01,0.0716300865,0.0672545192
2022-08-08,0.0821908269,0.0063013094
2022-08-15,0.0723829057,-0.0130228754
2022-08-22,0.059432248,0.0151401623
2022-08-29,0.0934976755,-0.0091652919
2022-09-05,0.117471578,0.0168508201
2022-09-12,0.0882536696,0.0289290524
2022-09-19,0.0812022952,0.0329890937
2022-09-26,0.0614052966,-0.0032822407
2022-10-03,0.0604309145,-0.0418821496
2022-10-10,0.0674615511,0.0401055877
2022-10-17,0.0591218488,0.0120868175
2022-10-24,0.1050610026,-0.0542992516
2022-10-31,0.1187715666,0.0066576448
2022-11-07,0.1354046728,-0.0258767838
2022-11-14,0.0628715402,0.0199581932
2022-11-21,0.0737687588,0.0510250769
2022-11-28,0.0555265764,0.0263486424
2022-12-05,0.0626602353,-0.0033639471
2022-12-12,0.0644275205,0.007477117
2022-12-19,0.0628506712,-0.032405093
