week,sigma_xs,sigma_ls
2022-12-26,0.0653698876,0.0228551394
2023-01-02,0.1014338292,-0.026852907
2023-01-09,0.1113064431,-0.0779758577
2023-01-16,0.078247485,-0.0236786271
2023-01-23,0.0779705179,0.0532815358
2023-01-30,0.104866349,-0.0313554006
2023-02-06,0.1174836275,-0.0174848792
2023-02-13,0.116278024,-0.0411575582
2023-02-20,0.0942158479,-0.029979251
2023-02-27,0.069984442,0.0499208107
2023-03-06,0.0626919007,0.0481192007
2023-03-13,0.1130202049,0.0034664523
2023-03-20,0.068656359,-0.027966649
2023-03-27,0.0610581054,0.0348915217
2023-04-03,0.056660602,-0.023019291
2023-04-10,0.0845181649,0.0537771501
2023-04-17,0.0685990276,0.0282999034
2023-04-24,0.045180448,-0.0055542561
2023-05-01,0.06304539,-0.0318845524
2023-05-08,0.0723731211,0.0020331995
2023-05-15,0.0449508016,-0.0151067103
2023-05-22,0.0542965409,-0.0005902138
2023-05-29,0.0635188323,-0.0025894624
2023-06-05,0.1110640307,-0.043055844
2023-06-12,0.0533035929,0.0134459383
2023-06-19,0.0824176871,0.0252196729
2023-06-26,0.1033091901,-0.0368531332
2023-07-03,0.0544844637,-0.018716977
2023-07-10,0.0874074638,-0.0362859287
2023-07-17,0.0682469533,0.0159014277
2023-07-24,0.0527838915,-0.0155132497
2023-07-31,0.114195328,0.0105436499
2023-08-07,0.0850526832,0.0706267331
2023-08-14,0.0746878592,-0.0285881739
2023-08-21,0.0580517852,-0.0251517996
2023-08-28,0.0653412654,0.0101297643
2023-09-04,0.0741640338,0.0097701266
2023-09-11,0.0620975617,-0.044292119
2023-09-18,0.0583152093,-0.0298584247
2023-09-25,0.0761450737,0.0023323153
2023-10-02,0.0638528943,-0.0120935814
2023-10-09,0.0562494359,0.0279466978
2023-10-16,0.0828698514,-0.027308775
2023-10-23,0.1042640352,0.0076462298
2023-10-30,0.1054338712,0.009316376
2023-11-06,0.1719145947,-0.0571921744
2023-11-13,0.1141470616,-0.0426491021
2023-11-20,0.0930912044,-0.0158832026
2023-11-27,0.1084714774,-0.0420051458
2023-12-04,0.1454175943,-0.1059071502
2023-12-11,0.1455657698,-0.0296501291
2023-12-18,0.1389793124,0.0050219236
2023-12-25,0.1215226857,-0.0249642601
2024-01-01,0.1536073113,0.0212098899
2024-01-08,0.102519139,-0.0320716684
2024-01-15,0.1219028555,-0.0200493803
2024-01-22,0.0664638449,-0.004714233
2024-01-29,0.0791632853,-0.0086829256
2024-02-05,0.0974575939,-0.024477033
2024-02-12,0.1409263522,-0.0343491503
2024-02-19,0.1494162772,0.1090428062
2024-02-26,0.2008900347,-0.1053046293
2024-03-04,0.1502480778,0.0073949768
2024-03-11,0.1407876044,0.0321106704
2024-03-18,0.1158904488,-0.0670970621
2024-03-25,0.1438978412,-0.012672704
2024-04-01,0.1032276486,-0.0101116928
2024-04-08,0.1345899018,0.0410077845
2024-04-15,0.084958292,-0.0205923215
2024-04-22,0.0738661082,0.0278715548
2024-04-29,0.0744586112,0.0270827971
2024-05-06,0.0927382024,0.0621784516
2024-05-13,0.0859646154,-0.0338733922
2024-05-20,0.1462271935,-0.0717464992
2024-05-27,0.0933222957,-0.0198515617
2024-06-03,0.0999083825,0.0419218848
2024-06-10,0.0962261664,-0.006574903
2024-06-17,0.0890560036,-0.0115687053
2024-06-24,0.0884184857,-0.0039470139
2024-07-01,0.0950333063,-0.0100980171
2024-07-08,0.0723083976,-0.0372892548
2024-07-15,0.1111796432,0.0144062073
2024-07-22,0.0775598405,-0.0313554197
2024-07-29,0.09167985,-0.0243613898
2024-08-05,0.0906715383,-0.0103734856
2024-08-12,0.0998232295,0.0330426073
2024-08-19,0.1144530928,0.0221015685
2024-08-26,0.0874342845,-0.0024432628
2024-09-02,0.0684064495,0.0072030121
2024-09-09,0.0879453059,-0.0224920037
2024-09-16,0.0897098298,-0.031408032
2024-09-23,0.088749884,0.0074609022
2024-09-30,0.0832321635,0.0184820838
2024-10-07,0.0896078038,-0.0125923769
2024-10-14,0.0877850577,-0.0385979264
2024-10-21,0.0888869585,0.0362875154
2024-10-28,0.0648229388,0.01427886
2024-11-04,0.1267342752,0.0029927968
2024-11-11,0.1486622802,-0.0180879451
2024-11-18,0.1652118185,-0.0605910533
2024-11-25,0.1114144939,0.052578254
2024-12-02,0.1333167547,-0.0043969649
2024-12-09,0.1051253335,-0.0034601047
2024-12-16,0.1431091854,0.0516409999
2024-12-23,0.118276995,-0.0140445184
2024-12-30,0.0802292947,0.0048900436
2025-01-06,0.0955803098,0.0233343252
2025-01-13,0.1436298491,-0.1000847095
2025-01-20,0.1179637908,0.0463169518
2025-01-27,0.1272778279,-0.0355470142
2025-02-03,0.1074457756,0.0113575907
2025-02-10,0.0855667608,-0.0121714675
2025-02-17,0.0946486849,0.0143336014
2025-02-24,0.1054836398,0.0440755921
2025-03-03,0.146929437,0.0104232795
2025-03-10,0.1086058196,0.0162317338
2025-03-17,0.1091283806,0.0047148244
2025-03-24,0.0921505845,0.011313536
2025-03-31,0.1240463478,0.023836587
2025-04-07,0.1335341016,0.0103395694
2025-04-14,0.1014560685,0.059936633
2025-04-21,0.1590287299,-0.0385813576
2025-04-28,0.0978572342,0.0212717667
2025-05-05,0.1844254637,-0.0192762269
2025-05-12,0.0890481809,-0.0300188094
2025-05-19,0.091501373,-0.0082993881
2025-05-26,0.1126831586,0.0152407189
2025-06-02,0.0781812463,0.0192318703
2025-06-09,0.0972089262,0.0408626283
2025-06-16,0.0976661557,-0.0111783466
2025-06-23,0.0888830145,0.0054231239
2025-06-30,0.083643975,-0.020494349
2025-07-07,0.134082354,-0.0346762986
2025-07-14,0.1109897746,0.0029102349
2025-07-21,0.1168728982,-0.0160004509
2025-07-28,0.0834025356,-0.0100512871
2025-08-04,0.1132600424,0.0446873798
2025-08-11,0.0924037537,0.0022014775
2025-08-18,0.1038109396,-0.0019367814
2025-08-25,0.0956170102,-0.0026093892
2025-09-01,0.1000022112,-0.0034648434
2025-09-08,0.1205962457,0.0237204628
2025-09-15,0.1077128821,0.0318618142
2025-09-22,0.0991734438,-0.001197456
2025-09-29,0.1226136231,-0.0220152906
2025-10-06,0.1856908081,0.0647515178
2025-10-13,0.0988136648,-0.0143855899
2025-10-20,0.1302819589,-0.0244005941
2025-10-27,0.1245939936,-0.0142913466
2025-11-03,0.1406414999,-0.0055074179
2025-11-10,0.1288505866,-0.0045769184
2025-11-17,0.1484020414,0.021136207
2025-11-24,0.1459850998,0.0124404246
2025-12-01,0.1164755169,-0.0065895822
2025-12-08,0.1189676664,0.0146298105
2025-12-15,0.1244821081,-0.0191479659
2025-12-22,0.1127436037,0.0240421597
2025-12-29,0.1229050295,0.0161195205
2026-01-05,0.1129085234,-0.0010111967
2026-01-12,0.1307640122,-0.0312623248
2026-01-19,0.1391458775,-0.0183713993
2026-01-26,0.1441886489,0.0329025766
2026-02-02,0.1351732581,-0.0155468817
2026-02-09,0.1309253372,0.0457102784
2026-02-16,0.1200040373,0.0254656828
2026-02-23,0.1344473918,0.0145953207
2026-03-02,0.1658046502,0.0045254718
2026-03-09,0.1242265205,-0.0542151884
2026-03-16,0.1579195489,0.0269648229
2026-03-23,0.146401267,0.0363282226
2026-03-30,0.1305120133,0.0037941558
2026-04-06,0.1872797709,0.0656400969
2026-04-13,0.2096360151,0.0121115423
2026-04-20,0.1049307983,-0.0350326251
2026-04-27,0.1377731557,0.0133063095
2026-05-04,0.1316029133,-0.038571394
2026-05-11,0.1292547676,0.0101006423
2026-05-18,0.1123591246,-0.0122445386
2026-05-25,0.1970110373,0.0556335271
2026-06-01,0.1865328126,0.0688132126
2026-06-08,0.1862417307,0.0067931682
2026-06-15,0.135981697,0.0044542477
2026-06-22,0.1435715547,-0.0193469923
2026-06-29,0.1262171989,0.0191815846
2026-07-06,0.2108401082,-0.0579021031
2026-07-13,0.1716694746,0.0106538029
2026-07-20,0.1368168793,0.0008664022
2026-07-27,0.1467262131,-0.0009961876
2026-08-03,0.1811880349,0.0199826566
2026-08-10,0.1764654158,0.0183752493
2026-08-17,0.186533651,-0.0131875457
2026-08-24,0.1608288904,0.1078283182
2026-08-31,0.1440649512,-0.000933465
2026-09-07,0.137338075,-0.0059863387
2026-09-14,0.0415595593,-0.008111445
