week,ic,k
2024-06-03,-0.0002739379,218
2024-06-10,-0.0521720021,220
2024-06-17,-0.0209846812,229
2024-06-24,0.2263675569,230
2024-07-01,-0.0553172758,234
2024-07-08,-0.3714627413,241
2024-07-15,0.0591684355,243
2024-07-22,0.1223068948,244
2024-07-29,0.1433623625,247
2024-08-05,-0.1806002656,251
2024-08-12,-0.4225951499,253
2024-08-19,0.1541584646,255
2024-08-26,-0.0916407501,255
2024-09-02,-0.1065493581,256
2024-09-09,-0.1400085389,258
2024-09-16,-0.3427387426,260
2024-09-23,-0.0548955643,260
2024-09-30,0.1096015862,262
2024-10-07,-0.0722206598,262
2024-10-14,-0.1019389733,262
2024-10-21,0.035853851,263
2024-10-28,-0.1163066328,265
2024-11-04,0.0223466021,268
2024-11-11,-0.1665060574,272
2024-11-18,-0.0831436168,273
2024-11-25,0.0283917542,274
2024-12-02,0.0397801564,275
2024-12-09,-0.1217666771,280
2024-12-16,-0.0169133458,282
2024-12-23,-0.2791179169,285
2024-12-30,0.1581978997,286
2025-01-06,0.1175536212,288
2025-01-13,0.3106722796,293
2025-01-20,0.4815244614,300
2025-01-27,0.2246259089,303
2025-02-03,-0.0016558392,305
2025-02-10,-0.0875128657,311
2025-02-17,-0.2075910293,313
2025-02-24,0.2939250489,315
2025-03-03,-0.1864718175,321
2025-03-10,-0.2296980763,324
2025-03-17,0.1783201111,327
2025-03-24,0.3976934067,329
2025-03-31,-0.0633355845,330
2025-04-07,-0.1775344347,336
2025-04-14,-0.3003890355,339
2025-04-21,0.0330973757,340
2025-04-28,-0.0419338046,340
2025-05-05,-0.0129174153,342
2025-05-12,0.0355266121,348
2025-05-19,-0.0439396714,351
2025-05-26,-0.026477683,354
2025-06-02,0.220770021,355
2025-06-09,0.350414219,359
2025-06-16,-0.429653563,361
2025-06-23,0.0472828258,373
2025-06-30,-0.2452588463,375
2025-07-07,-0.0045203456,376
2025-07-14,-0.0796420445,380
2025-07-21,-0.2469551321,383
2025-07-28,0.0965878412,384
2025-08-04,0.0773372755,388
2025-08-11,0.0475218539,391
2025-08-18,0.0480282205,393
2025-08-25,-0.1743615828,394
2025-09-01,-0.3181092676,398
2025-09-08,0.0204900745,403
2025-09-15,0.1369844726,412
2025-09-22,0.0930647366,423
2025-09-29,0.261619135,427
2025-10-06,0.0206470119,433
2025-10-13,-0.0659521036,436
2025-10-20,0.1709098029,438
2025-10-27,0.0142984091,442
2025-11-03,0.2462208347,449
2025-11-10,-0.0093125061,458
2025-11-17,-0.1417922981,466
2025-11-24,-0.0241245448,473
2025-12-01,0.1487291493,481
2025-12-08,0.0685189977,488
2025-12-15,-0.2588508298,493
2025-12-22,-0.2759933227,498
2025-12-29,-0.139289329,499
2026-01-05,-0.190335034,503
2026-01-12,-0.14920658,506
2026-01-19,0.081183161,508
2026-01-26,0.1594942722,509
2026-02-02,-0.1519896303,513
2026-02-09,0.198921216,514
2026-02-16,-0.004587489,516
2026-02-23,-0.072331933,519
2026-03-02,-0.0881685436,524
2026-03-09,0.0414461489,524
2026-03-16,0.0602779467,538
2026-03-23,-0.0695370101,540
2026-03-30,-0.1314771743,541
2026-04-06,-0.1802901336,544
2026-04-13,-0.0057557105,544
2026-04-20,0.0112123643,545
2026-04-27,-0.1076303064,546
2026-05-04,-0.303101282,548
2026-05-11,-0.0377897485,557
