2026-06-14 17:08:30.561 | INFO     | bybit_edge.recorder            | Starting RecordingEngine: streams=['rpi_orderbook', 'insurance_pool', 'adl_alerts', 'option_tickers', 'premium_index_kline'] symbols=['BTCUSDT'] options=['BTC', 'ETH'] cap=50.0 GB duration=28800.0
2026-06-14 17:08:31.491 | INFO     | bybit_edge.recorder.recording_engine | [linear] connected to wss://stream.bybit.com/v5/public/linear
2026-06-14 17:08:31.492 | INFO     | bybit_edge.recorder.recording_engine | [linear] subscribe request sent for stream=rpi_orderbook topics=['orderbook.rpi.BTCUSDT']
2026-06-14 17:08:31.492 | INFO     | bybit_edge.recorder.recording_engine | [linear] subscribe request sent for stream=insurance_pool topics=['insurance.USDT']
2026-06-14 17:08:31.493 | WARNING  | bybit_edge.recorder.recording_engine | [linear] stream 'adl_alerts' is marked phantom — skipping subscribe (topics=['adlAlert']). See DEC-08 / state/decisions.md.
2026-06-14 17:08:31.650 | INFO     | bybit_edge.recorder.recording_engine | [option] connected to wss://stream.bybit.com/v5/public/option
2026-06-14 17:08:31.650 | INFO     | bybit_edge.recorder.recording_engine | [option] subscribe request sent for stream=option_tickers topics=['tickers.BTC', 'tickers.ETH']
2026-06-14 17:08:31.670 | INFO     | bybit_edge.recorder.recording_engine | [linear] ack: op=subscribe success=true ret_msg='' conn_id=d8bu15ud7r777v9udu7g-4eit3
2026-06-14 17:08:31.726 | INFO     | bybit_edge.recorder.recording_engine | [linear] ack: op=subscribe success=true ret_msg='' conn_id=d8bu15ud7r777v9udu7g-4eit3
2026-06-14 17:08:31.829 | INFO     | bybit_edge.recorder.recording_engine | [option] ack: op= success=true ret_msg='' conn_id=d8akr9ki2jsf189o55t0-1s8kb
2026-06-14 17:09:03.947 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 50.0, 'used_gb': 0.0373, 'used_pct': 0.07, 'total_bytes': 40096395, 'total_segments': 3949, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'insurance_pool': {'bytes': 28127, 'segments': 16}, 'premium_index_kline': {'bytes': 9439278, 'segments': 977}, 'rpi_orderbook': {'bytes': 30628990, 'segments': 2956}}}
2026-06-14 17:09:36.397 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 50.0, 'used_gb': 0.0374, 'used_pct': 0.07, 'total_bytes': 40152137, 'total_segments': 3954, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'insurance_pool': {'bytes': 28127, 'segments': 16}, 'premium_index_kline': {'bytes': 9448907, 'segments': 978}, 'rpi_orderbook': {'bytes': 30675103, 'segments': 2960}}}
2026-06-14 17:10:08.334 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 50.0, 'used_gb': 0.0374, 'used_pct': 0.07, 'total_bytes': 40185178, 'total_segments': 3957, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'insurance_pool': {'bytes': 28127, 'segments': 16}, 'premium_index_kline': {'bytes': 9448907, 'segments': 978}, 'rpi_orderbook': {'bytes': 30708144, 'segments': 2963}}}
2026-06-14 17:10:40.197 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 50.0, 'used_gb': 0.0375, 'used_pct': 0.07, 'total_bytes': 40226830, 'total_segments': 3961, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'insurance_pool': {'bytes': 28127, 'segments': 16}, 'premium_index_kline': {'bytes': 9458553, 'segments': 979}, 'rpi_orderbook': {'bytes': 30740150, 'segments': 2966}}}
2026-06-14 17:11:11.879 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 50.0, 'used_gb': 0.0375, 'used_pct': 0.07, 'total_bytes': 40258895, 'total_segments': 3964, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'insurance_pool': {'bytes': 28127, 'segments': 16}, 'premium_index_kline': {'bytes': 9458553, 'segments': 979}, 'rpi_orderbook': {'bytes': 30772215, 'segments': 2969}}}
2026-06-14 17:11:43.377 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 50.0, 'used_gb': 0.0375, 'used_pct': 0.08, 'total_bytes': 40302241, 'total_segments': 3968, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'insurance_pool': {'bytes': 28127, 'segments': 16}, 'premium_index_kline': {'bytes': 9468212, 'segments': 980}, 'rpi_orderbook': {'bytes': 30805902, 'segments': 2972}}}
2026-06-14 17:12:14.965 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 50.0, 'used_gb': 0.0376, 'used_pct': 0.08, 'total_bytes': 40351760, 'total_segments': 3972, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'insurance_pool': {'bytes': 28127, 'segments': 16}, 'premium_index_kline': {'bytes': 9468212, 'segments': 980}, 'rpi_orderbook': {'bytes': 30855421, 'segments': 2976}}}
2026-06-14 17:12:46.707 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 50.0, 'used_gb': 0.0376, 'used_pct': 0.08, 'total_bytes': 40395162, 'total_segments': 3976, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'insurance_pool': {'bytes': 28127, 'segments': 16}, 'premium_index_kline': {'bytes': 9477876, 'segments': 981}, 'rpi_orderbook': {'bytes': 30889159, 'segments': 2979}}}
2026-06-14 17:13:18.401 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 50.0, 'used_gb': 0.0376, 'used_pct': 0.08, 'total_bytes': 40425182, 'total_segments': 3979, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'insurance_pool': {'bytes': 28127, 'segments': 16}, 'premium_index_kline': {'bytes': 9477876, 'segments': 981}, 'rpi_orderbook': {'bytes': 30919179, 'segments': 2982}}}
2026-06-14 17:13:50.194 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 50.0, 'used_gb': 0.0377, 'used_pct': 0.08, 'total_bytes': 40462841, 'total_segments': 3983, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'insurance_pool': {'bytes': 28127, 'segments': 16}, 'premium_index_kline': {'bytes': 9487542, 'segments': 982}, 'rpi_orderbook': {'bytes': 30947172, 'segments': 2985}}}
2026-06-14 17:14:22.110 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 50.0, 'used_gb': 0.0377, 'used_pct': 0.08, 'total_bytes': 40493106, 'total_segments': 3986, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'insurance_pool': {'bytes': 28127, 'segments': 16}, 'premium_index_kline': {'bytes': 9487542, 'segments': 982}, 'rpi_orderbook': {'bytes': 30977437, 'segments': 2988}}}
2026-06-14 17:14:54.085 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 50.0, 'used_gb': 0.0378, 'used_pct': 0.08, 'total_bytes': 40534811, 'total_segments': 3990, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'insurance_pool': {'bytes': 28127, 'segments': 16}, 'premium_index_kline': {'bytes': 9497204, 'segments': 983}, 'rpi_orderbook': {'bytes': 31009480, 'segments': 2991}}}
2026-06-14 17:15:25.754 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 50.0, 'used_gb': 0.0378, 'used_pct': 0.08, 'total_bytes': 40577694, 'total_segments': 3994, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'insurance_pool': {'bytes': 28127, 'segments': 16}, 'premium_index_kline': {'bytes': 9497204, 'segments': 983}, 'rpi_orderbook': {'bytes': 31052363, 'segments': 2995}}}
2026-06-14 17:15:57.359 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 50.0, 'used_gb': 0.0378, 'used_pct': 0.08, 'total_bytes': 40621174, 'total_segments': 3998, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'insurance_pool': {'bytes': 28127, 'segments': 16}, 'premium_index_kline': {'bytes': 9506877, 'segments': 984}, 'rpi_orderbook': {'bytes': 31086170, 'segments': 2998}}}
2026-06-14 17:16:28.194 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 50.0, 'used_gb': 0.0379, 'used_pct': 0.08, 'total_bytes': 40655174, 'total_segments': 4001, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'insurance_pool': {'bytes': 28127, 'segments': 16}, 'premium_index_kline': {'bytes': 9506877, 'segments': 984}, 'rpi_orderbook': {'bytes': 31120170, 'segments': 3001}}}
2026-06-14 17:16:59.806 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 50.0, 'used_gb': 0.0379, 'used_pct': 0.08, 'total_bytes': 40698291, 'total_segments': 4005, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'insurance_pool': {'bytes': 28127, 'segments': 16}, 'premium_index_kline': {'bytes': 9516544, 'segments': 985}, 'rpi_orderbook': {'bytes': 31153620, 'segments': 3004}}}
2026-06-14 17:17:31.364 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 50.0, 'used_gb': 0.0379, 'used_pct': 0.08, 'total_bytes': 40736702, 'total_segments': 4008, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'insurance_pool': {'bytes': 28127, 'segments': 16}, 'premium_index_kline': {'bytes': 9516544, 'segments': 985}, 'rpi_orderbook': {'bytes': 31192031, 'segments': 3007}}}
2026-06-14 17:18:03.030 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 50.0, 'used_gb': 0.038, 'used_pct': 0.08, 'total_bytes': 40774395, 'total_segments': 4012, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'insurance_pool': {'bytes': 28127, 'segments': 16}, 'premium_index_kline': {'bytes': 9526202, 'segments': 986}, 'rpi_orderbook': {'bytes': 31220066, 'segments': 3010}}}
2026-06-14 17:18:33.959 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 50.0, 'used_gb': 0.038, 'used_pct': 0.08, 'total_bytes': 40801338, 'total_segments': 4015, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'insurance_pool': {'bytes': 28127, 'segments': 16}, 'premium_index_kline': {'bytes': 9526202, 'segments': 986}, 'rpi_orderbook': {'bytes': 31247009, 'segments': 3013}}}
2026-06-14 17:19:05.636 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 50.0, 'used_gb': 0.038, 'used_pct': 0.08, 'total_bytes': 40838202, 'total_segments': 4019, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'insurance_pool': {'bytes': 28127, 'segments': 16}, 'premium_index_kline': {'bytes': 9535856, 'segments': 987}, 'rpi_orderbook': {'bytes': 31274219, 'segments': 3016}}}
2026-06-14 17:19:37.181 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 50.0, 'used_gb': 0.0381, 'used_pct': 0.08, 'total_bytes': 40897251, 'total_segments': 4024, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'insurance_pool': {'bytes': 28127, 'segments': 16}, 'premium_index_kline': {'bytes': 9545500, 'segments': 988}, 'rpi_orderbook': {'bytes': 31323624, 'segments': 3020}}}
2026-06-14 17:20:08.787 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 50.0, 'used_gb': 0.0381, 'used_pct': 0.08, 'total_bytes': 40931477, 'total_segments': 4027, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'insurance_pool': {'bytes': 28127, 'segments': 16}, 'premium_index_kline': {'bytes': 9545500, 'segments': 988}, 'rpi_orderbook': {'bytes': 31357850, 'segments': 3023}}}
2026-06-14 17:20:40.392 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 50.0, 'used_gb': 0.0382, 'used_pct': 0.08, 'total_bytes': 40974599, 'total_segments': 4031, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'insurance_pool': {'bytes': 28127, 'segments': 16}, 'premium_index_kline': {'bytes': 9555145, 'segments': 989}, 'rpi_orderbook': {'bytes': 31391327, 'segments': 3026}}}
