date,value
2025-08-01,-23.524130388807166
2025-08-02,2.6324584650787273
2025-08-03,18.655610075343603
2025-08-04,6.53581315637404
2025-08-05,1.0846677491104941
2025-08-06,8.903659733115845
2025-08-07,4.7850350684228005
2025-08-08,4.715848856249963
2025-08-09,3.1881634238722114
2025-08-10,11.177684617053721
2025-08-11,-3.8484013491521694
2025-08-12,-5.927607483787156
2025-08-13,-3.308701373666864
2025-08-14,-28.170417852242437
2025-08-15,-6.964011111645277
2025-08-16,20.52065215531998
2025-08-17,18.6863144236734
2025-08-18,-9.459799846196745
2025-08-19,-5.059302775460736
2025-08-20,-9.26182840154354
2025-08-21,1.5172793656326888
2025-08-22,-36.16131672796955
2025-08-23,17.965000479612044
2025-08-24,-4.527011962211191
2025-08-25,-11.706955031532743
2025-08-26,-8.20574997604433
2025-08-27,-8.135370989458892
2025-08-28,12.084903812272678
2025-08-29,-7.7290119320411605
2025-08-30,25.11477116357368
2025-08-31,26.575445609803573
2026-03-20,17.165134760349794
2026-03-21,43.50827209701279
2026-03-22,16.578804634699907
2026-03-23,-38.50044365464535
2026-03-24,13.439875767044363
2026-03-25,23.510797733076004
2026-03-26,13.470131599286063
2026-03-27,14.603594177644958
2026-03-28,33.41346993979039
2026-03-29,28.00887890009922
2026-03-30,12.101028201630946
2026-03-31,3.5010400635443943
2026-04-01,14.173915189357928
2026-04-02,6.529876577895536
2026-04-03,34.33110730891216
2026-04-04,46.32293417683047
2026-04-05,29.84623238691617
2026-04-06,15.258446369927874
2026-04-07,1.3469075993606054
2026-04-08,11.776060076830554
2026-04-09,7.0647915009972735
2026-04-10,17.515778211426927
2026-04-11,23.69380285379424
2026-04-12,15.542541685671559
2026-04-13,1.5035454403860342
2026-04-14,10.447304074228946
2026-04-15,15.001723396111728
2026-04-16,11.764814365723282
2026-04-17,3.547829532774614
2026-04-18,26.83498050001385
2026-04-19,17.574368093243756
2026-04-20,6.092743151001926
2026-04-21,13.527114755367236
2026-04-22,9.392334423305826
2026-04-23,14.276146998880044
2026-04-24,21.981176864995184
2026-04-25,43.18008861661875
2026-04-26,29.221005226959264
2026-04-27,13.80841444524114
2026-04-28,21.696541656943182
2026-04-29,6.329066110340854
2026-04-30,13.511206751994436
2026-05-01,17.356674331146294
2026-05-02,30.872235959860223
2026-05-03,22.486394663637356
2026-05-04,-1.5157209036917152
2026-05-05,13.24255111587565
2026-05-06,11.991130747724213
2026-05-07,12.704321979137973
2026-05-08,16.58551181214974
2026-05-09,32.33941596036541
2026-05-10,17.860858630506236
2026-05-11,14.883078022825984
2026-05-12,16.834404684075757
2026-05-13,17.96503410836077
2026-05-14,13.702347399948472
2026-05-15,10.685094711681309
2026-05-16,23.00913158586911
2026-05-17,-12.05799173132855
2026-05-18,-4.842680724086513
2026-05-19,12.124854702030667
2026-05-20,11.574797377240508
2026-05-21,7.819569925907366
2026-05-22,2.920508973033094
2026-05-23,-2.732857553258306
2026-05-24,10.421366280868668
2026-05-25,14.13549425671183
2026-05-26,3.9605467151666005
2026-05-27,1.9334044161042456
2026-05-28,-1.3889524704342335
2026-05-29,4.103984234995103
2026-05-30,25.615273558526173
2026-05-31,20.72070042888268
2026-06-01,-0.6636707690168038
2026-06-02,-18.42745420420966
2026-06-03,-18.613729463924578
2026-06-04,-39.42493511721741
2026-06-05,-65.01995674135331
2026-06-06,-17.29646936289525
2026-06-07,-24.202659437788085
2026-06-08,-16.945787085849894
2026-06-09,-10.55032748847843
2026-06-10,-15.875626467608477
2026-06-11,-11.20355060842158
2026-06-12,4.0953602922398105
2026-06-13,26.200479149522838
2026-06-14,10.271737841958263
2026-06-15,-2.907260939928335
2026-06-16,-10.565719063792692
2026-06-17,-18.331179764744356
2026-06-18,3.711874194249617
2026-06-19,10.062141123307747
2026-06-20,16.21620229033197
2026-06-21,19.34562109939329
2026-06-22,0.05744864450581133
2026-06-23,2.058434985537808
2026-06-24,-20.073655168583272
2026-06-25,-22.680648417561137
2026-06-26,-26.680653590260654
2026-06-27,21.70383739701149
2026-06-28,14.990296456891393
2026-06-29,-9.493816459661254
2026-06-30,7.872618696789331
2026-07-01,-4.508497328922573
2026-07-02,-14.20432332214395
2026-07-03,-0.5744532957205806
2026-07-04,7.74302015477452
2026-07-05,13.221887346871007
2026-07-06,-14.623589677644055
2026-07-07,-0.18425831827188688
2026-07-08,0.12151160306507336
2026-07-09,7.273441452540062
2026-07-10,2.863111192952303
2026-07-11,19.55378759696271
2026-07-12,16.66169499539111
2026-07-13,-3.0002986551668087
2026-07-14,-4.455486633061511
2026-07-15,0.8775246129616363
2026-07-16,4.056982111888601
2026-07-17,3.089804571682194
2026-07-18,26.034434703246372
2026-07-19,15.989206457844496
2026-07-20,-2.8765874244385614
2026-07-21,11.39066783182507
2026-07-22,5.444359927756956
2026-07-23,13.313163974742395
2026-07-24,10.296994864272357
2026-07-25,31.584934807859437
2026-07-26,19.13394613904522
2026-07-27,-1.3342250816863341
2026-07-28,2.8948944883839616
2026-07-29,-1.2392147401502527
2026-07-30,13.258255654796521
2026-07-31,10.041944975090175
