date,value
2026-06-16,-0.00036609513041896413
2026-06-17,-0.00041258457869208787
2026-06-18,-0.0005704202383119972
2026-06-19,-0.0004329052907854347
2026-06-20,-0.0004662636187312552
2026-06-21,-0.000537072358896884
2026-06-22,-0.0004212059340062968
2026-06-23,-0.0004915117177580752
2026-06-24,-0.00037444253398521976
2026-06-25,-0.00048046721155425853
2026-06-27,-0.000525765508583298
2026-06-28,-0.00043003879748926277
2026-06-29,-0.0005310211786181407
2026-06-30,-0.00044278980089296205
2026-07-01,-0.0004511297234515155
2026-07-02,-0.00041943828409130024
2026-07-03,-0.00039482007565017074
2026-07-04,-0.00046767499486077835
2026-07-05,-0.0004823980525471283
2026-07-17,-0.00043571175333634304
2026-07-18,-0.00045145181010264324
2026-07-19,-0.00041389270492098174
2026-07-20,-0.0004884550948532906
2026-07-21,-0.0005075289470292121
2026-07-22,-0.0005458778658398167
2026-07-23,-0.0004874161231046559
2026-07-24,-0.0004925709725539518
2026-07-25,-0.0004489471722775029
2026-07-26,-0.0004256793515239332
2026-07-27,-0.0005105325772326585
2026-07-28,-0.0003372794191035533
2026-07-29,-0.0004371501001835254
2026-07-30,-0.00038390963258139177
2026-07-31,-0.0003770637721230985
2026-08-02,-0.00037800831618295394
2026-08-03,-0.0004338439737596733
2026-08-04,-0.00043491635815884333
2026-08-05,-0.0005069588531285696
2026-08-06,-0.0005446796706670698
2026-08-07,-0.0005220296030372662
2026-08-08,-0.00043980782691677156
2026-08-09,-0.00048150370911936857
2026-08-10,-0.0003887658396286575
2026-08-11,-0.0005215631863501047
2026-08-12,-0.0004457973439930818
2026-08-13,-0.0004662199392956312
2026-08-15,-0.0004126154110508651
2026-08-16,-0.0004371977373824887
2026-08-17,-0.0005310455554027316
2026-08-18,-0.0005175607593157494
2026-08-19,-0.00040295457718331207
2026-08-20,-0.00047118313249272514
2026-08-21,-0.00039214519890840016
2026-08-22,2.594929662258494e-07
2026-08-23,-0.0003242191721603005
2026-08-24,-0.00045955533274066873
2026-08-25,-0.0004587814240764043
2026-08-26,-0.0004461875764472101
2026-08-27,-0.0004958317855465744
2026-08-28,-0.0004389544380196675
2026-08-29,-0.0004641262136977353
